LayerName,FilterType,typeCode,TypeCodeDescription,LayerDescription,ProjectionDate,RCP,Correlated
clim.he2670.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP26 2070,2070,26,yes
clim.he2670.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP26 2070,2070,26,yes
clim.he2670.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP26 2070,2070,26,yes
clim.he2670.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP26 2070,2070,26,yes
clim.hhe4550.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4550.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4550.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP45 2050,2050,45,yes
clim.hhe4550.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP45 2050,2050,45,yes
clim.hhe4550.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4550.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4550.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4550.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP45 2050,2050,45,yes
clim.hhe4550.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP45 2050,2050,45,yes
clim.hhe4550.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP45 2050,2050,45,yes
clim.hhe4550.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP45 2050,2050,45,yes
clim.hhe4550.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP45 2050,2050,45,yes
clim.hhe4550.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP45 2050,2050,45,yes
clim.hhe4570.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP45 2070,2070,45,yes
clim.hhe4570.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP45 2070,2070,45,yes
clim.hhe4570.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP45 2070,2070,45,yes
clim.hhe4570.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP45 2070,2070,45,yes
clim.hhe4570.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP45 2070,2070,45,yes
clim.hhe4570.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP45 2070,2070,45,yes
clim.hhe4570.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP45 2070,2070,45,yes
clim.hhe4570.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP45 2070,2070,45,yes
clim.hhe4570.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP45 2070,2070,45,yes
clim.hhe4570.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP45 2070,2070,45,yes
clim.hhe4570.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP45 2070,2070,45,yes
clim.hhe4570.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP45 2070,2070,45,yes
clim.hhe4570.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP45 2070,2070,45,yes
clim.he6050.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP60 2050,2050,60,yes
clim.he6050.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP60 2050,2050,60,yes
clim.he6050.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP60 2050,2050,60,yes
clim.he6050.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP60 2050,2050,60,yes
clim.he6050.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP60 2050,2050,60,yes
